butterfly-sushi-bar-and-thai-cuisine-chicago-3,Butterfly Sushi Bar & Thai Cuisine,"1421 W Chicago Ave, Chicago, IL 60642",337,3.5,sushi,+13124929955,https://www.yelp.com/biz/butterfly-sushi-bar-and-thai-cuisine-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
the-rice-table-chicago,The Rice Table,", Chicago, IL 60642",32,4.0,catering,+18476446331,https://www.yelp.com/biz/the-rice-table-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
kin-sushi-and-thai-cuisine-chicago,Kin Sushi & Thai Cuisine,"1132 N Milwaukee Ave, Chicago, IL 60642",205,4.0,thai,+17737722722,https://www.yelp.com/biz/kin-sushi-and-thai-cuisine-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
d-agostinos-pizza-and-pub-chicago-3,D'Agostino's Pizza and Pub,"752 N Ogden Ave, Chicago, IL 60642",206,3.0,pizza,+13128503247,https://www.yelp.com/biz/d-agostinos-pizza-and-pub-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
five-star-bar-chicago,Five Star Bar,"1424 W Chicago Ave, Chicago, IL 60642",360,3.5,bars,+13128502555,https://www.yelp.com/biz/five-star-bar-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
china-court-chicago,China Court,"1146 N Milwaukee Ave, Chicago, IL 60642",106,3.5,chinese,+17732922388,https://www.yelp.com/biz/china-court-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
epic-burger-chicago-2,Epic Burger,"1000 W North Ave, Chicago, IL 60642",353,3.5,burgers,+13124409700,https://www.yelp.com/biz/epic-burger-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
iguana-café-chicago-2,Iguana Café,"517 N Halsted St, Chicago, IL 60642",648,4.0,creperies,+13124320663,https://www.yelp.com/biz/iguana-caf%C3%A9-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
estate-chicago-5,Estate,"1177 N Elston Ave, Chicago, IL 60642",160,3.0,lounges,+13125234296,https://www.yelp.com/biz/estate-chicago-5?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
arts-drive-in-chicago,Art's Drive In,"1333 W North Ave, Chicago, IL 60642",30,4.0,diners,+17734890099,https://www.yelp.com/biz/arts-drive-in-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
fiore-delicatessen-chicago,Fiore Delicatessen,"2258 W Erie St, Chicago, IL 60612",135,4.5,grocery,+13129429419,https://www.yelp.com/biz/fiore-delicatessen-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
the-corner-farmacy-chicago,The Corner Farmacy,"324 N Leavitt, Chicago, IL 60612",49,4.5,foodtrucks,+15632717936,https://www.yelp.com/biz/the-corner-farmacy-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
ej-sushi-chicago-2,EJ Sushi,"1406 W Grand Ave, Chicago, IL 60642",82,4.0,sushi,+13127339083,https://www.yelp.com/biz/ej-sushi-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
the-breakfast-club-and-grill-chicago,The Breakfast Club and Grill,"1381 W Hubbard St, Chicago, IL 60642",373,3.5,breakfast_brunch,+13126662372,https://www.yelp.com/biz/the-breakfast-club-and-grill-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
pot-pan-chicago-3,Pot Pan,"1362 N Milwaukee Ave, Chicago, IL 60642",355,3.5,thai,+17738626990,https://www.yelp.com/biz/pot-pan-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
mr-browns-lounge-chicago,Mr Brown's Lounge,"2301 W Chicago Ave, Chicago, IL 60612",319,3.5,caribbean,+17732784445,https://www.yelp.com/biz/mr-browns-lounge-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
italian-pizza-kitchen-chicago-chicago-2,Italian Pizza Kitchen - Chicago,"1433 N Dayton Dr, Chicago, IL 60642",47,3.5,pizza,+13126426700,https://www.yelp.com/biz/italian-pizza-kitchen-chicago-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
mahoneys-pub-and-grille-chicago,Mahoney's Pub and Grille,"551 N Ogden Ave, Chicago, IL 60642",151,3.0,sportsbars,+13127332121,https://www.yelp.com/biz/mahoneys-pub-and-grille-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
