License,Inspection Date
2535478,11/16/2017
1272499,08/14/2017
2447175,11/16/2017
2555707,11/16/2017
2333221,11/16/2017
2374386,11/16/2017
1196269,11/16/2017
25152,11/16/2017
2341070,11/16/2017
1649363,11/16/2017
25951,11/16/2017
2328137,11/16/2017
2476946,11/16/2017
34521,11/16/2017
2279036,11/16/2017
2068972,11/15/2017
2303825,11/15/2017
1492853,11/15/2017
2303641,11/15/2017
2476335,11/15/2017
2328478,11/15/2017
2215985,11/14/2017
1270965,11/14/2017
2284173,11/14/2017
2368444,11/14/2017
1594330,11/14/2017
1717951,11/14/2017
1645699,11/14/2017
2522811,11/14/2017
5012,11/14/2017
2542930,11/14/2017
1970361,11/14/2017
0,11/14/2017
2464560,11/14/2017
2516815,11/14/2017
1974672,11/14/2017
2542447,11/14/2017
2125165,11/14/2017
2564856,11/14/2017
1874872,11/14/2017
2451974,11/13/2017
34396,11/13/2017
2476990,11/13/2017
2121162,11/13/2017
2564739,11/13/2017
2564567,11/13/2017
2278775,11/13/2017
2542235,11/13/2017
1899235,11/13/2017
1249410,11/13/2017
1964839,11/13/2017
2189438,11/13/2017
1443216,11/13/2017
1885084,11/13/2017
39259,11/13/2017
54103,11/13/2017
31061,11/13/2017
2293678,11/13/2017
2033075,11/13/2017
20440,11/13/2017
2313774,11/13/2017
2216207,11/13/2017
2125455,11/13/2017
1492724,11/13/2017
1645699,11/09/2017
2368253,11/09/2017
25491,11/09/2017
2560757,11/09/2017
2476760,11/09/2017
26668,11/09/2017
2129964,11/09/2017
1122751,11/09/2017
1981489,11/09/2017
2564673,11/09/2017
1898798,11/09/2017
2152519,11/09/2017
2215466,11/09/2017
2563976,11/09/2017
2550381,11/09/2017
20417,11/09/2017
1678048,11/09/2017
2550380,11/09/2017
1277068,11/09/2017
2559800,11/09/2017
2564341,11/09/2017
2133719,11/08/2017
2469894,11/08/2017
2411778,11/08/2017
2496857,11/08/2017
2333086,11/08/2017
2437491,11/08/2017
2559978,11/08/2017
2437922,11/08/2017
2506535,11/08/2017
2031862,11/08/2017
2542208,11/08/2017
6231,11/08/2017
1226430,11/08/2017
2542207,11/08/2017
4908,11/02/2017
2437484,11/08/2017
33554,11/08/2017
22801,11/08/2017
2013337,11/08/2017
1646292,11/08/2017
1196269,11/08/2017
2506788,11/08/2017
