GroupID,DataSource,SourceID,Address,Name,Case#,DateTime,CrimeType,Arrest
1,Crime,4539387,009XX S MICHIGAN AVE,,HM126651,2006-01-16T00:00:00.000,OTHER OFFENSE,False
1,Crime,4889082,009XX S MICHIGAN AVE,,HM501404,2006-07-26T20:10:00.000,BATTERY,True
1,Crime,5067908,009XX S MICHIGAN AVE,,HM674966,2006-10-22T02:30:00.000,BATTERY,True
1,Crime,5081722,009XX S MICHIGAN AVE,,HM686721,2006-10-27T20:00:00.000,OTHER OFFENSE,False
1,Crime,5197882,009XX S MICHIGAN AVE,,HM787090,2006-12-21T13:54:48.000,THEFT,False
1,Crime,5209997,009XX S MICHIGAN AVE,,HM799405,2006-12-28T16:00:00.000,THEFT,False
1,Crime,5223429,009XX S MICHIGAN AVE,,HN107442,2007-01-04T16:00:00.000,THEFT,False
1,Crime,5464529,009XX S MICHIGAN AVE,,HN290145,2007-04-18T08:48:00.000,CRIMINAL DAMAGE,True
1,Crime,5838054,009XX S MICHIGAN AVE,,HN647409,2007-10-14T11:10:00.000,DECEPTIVE PRACTICE,True
1,Crime,6996561,009XX S MICHIGAN AVE,,HR403142,2009-05-14T01:00:00.000,THEFT,False
1,Crime,7294708,009XX S MICHIGAN AVE,,HR711355,2009-12-30T07:00:00.000,THEFT,False
1,Crime,7426169,009XX S MICHIGAN AVE,,HS228524,2010-03-27T12:50:00.000,BATTERY,False
1,Crime,7479889,009XX S MICHIGAN AVE,,HS281989,2010-04-29T12:15:00.000,NARCOTICS,True
1,Crime,7651101,009XX S MICHIGAN AVE,,HS456333,2010-08-10T22:40:00.000,ROBBERY,True
1,Crime,7651090,009XX S MICHIGAN AVE,,HS456277,2010-08-10T22:30:00.000,THEFT,True
2,Yelp,gSixifGJO51MHlMLlv0ITQ,"335 N Dearborn St (Chicago, IL 60601 Neighborhood: Near North Side",A Mano,,,,
2,Crime,11226454,003XX N DEARBORN ST,,JB146116,2018-02-09T03:15:00.000,ROBBERY,False
2,Crime,10012594,003XX N DEARBORN ST,,HY202271,2015-03-29T01:38:00.000,BATTERY,False
2,Crime,2155516,003XX N DEARBORN ST,,HH399494,2002-05-24T16:00:00.000,THEFT,False
2,Crime,11229364,003XX N DEARBORN ST,,JB150144,2018-02-12T23:42:00.000,SEX OFFENSE,False
2,Crime,11239131,003XX N DEARBORN ST,,JB163373,2018-02-24T04:30:00.000,THEFT,False
2,Crime,11242179,003XX N DEARBORN ST,,JB167288,2018-02-27T12:00:00.000,THEFT,False
2,Crime,11252058,003XX N DEARBORN ST,,JB180376,2018-03-10T03:48:00.000,BATTERY,True
